City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Almeirim,BR,2021-02-02 21:47:19,-1.5233,-52.5817,80.83,74,86,3.6
68,Severo-Kurilsk,RU,2021-02-02 21:40:27,50.6789,156.125,23.36,94,82,52.5
69,Iquique,CL,2021-02-02 21:43:47,-20.2208,-70.1431,70.23,63,83,3.87
70,Berlevag,NO,2021-02-02 21:44:43,70.8578,29.0864,26.6,74,75,28.77
71,Camacha,PT,2021-02-02 21:41:12,33.0833,-16.3333,62.6,77,75,3.44
72,Richards Bay,ZA,2021-02-02 21:44:53,-28.783,32.0377,68.67,83,100,4.21
73,Moose Factory,CA,2021-02-02 21:47:20,51.2585,-80.6094,6.8,85,20,5.75
74,Port Alfred,ZA,2021-02-02 21:42:04,-33.5906,26.891,66.99,91,0,1.01
75,Chuy,UY,2021-02-02 21:42:41,-33.6971,-53.4616,76.1,80,64,7.56
76,Aklavik,CA,2021-02-02 21:47:20,68.2191,-135.0107,-25.6,75,20,5.75
77,Newport,GB,2021-02-02 21:45:12,51.5877,-2.9984,50.0,95,100,5.01
78,Jieshi,CN,2021-02-02 21:47:20,22.8134,115.8257,58.14,76,9,20.18
79,Yellowknife,CA,2021-02-02 21:42:14,62.456,-114.3525,-11.0,70,90,13.8
80,Tazmalt,DZ,2021-02-02 21:47:21,36.3868,4.3989,54.59,62,0,4.12
81,Trabzon,TR,2021-02-02 21:47:21,40.9167,39.8333,53.6,54,0,3.44
82,Bambanglipuro,ID,2021-02-02 21:47:21,-7.95,110.2833,76.35,87,87,5.53
83,Rikitea,PF,2021-02-02 21:37:15,-23.1203,-134.9692,78.44,74,41,13.96
84,Kununurra,AU,2021-02-02 21:47:21,-15.7667,128.7333,78.8,100,83,4.61
85,Bambous Virieux,MU,2021-02-02 21:42:03,-20.3428,57.7575,80.6,74,75,11.5
86,Fare,PF,2021-02-02 21:47:22,-16.7,-151.0167,81.46,76,4,13.76
87,Kavieng,PG,2021-02-02 21:41:23,-2.5744,150.7967,81.12,76,100,8.93
88,Ambilobe,MG,2021-02-02 21:47:22,-13.2,49.05,74.75,91,99,1.66
89,Carutapera,BR,2021-02-02 21:47:22,-1.195,-46.02,79.41,78,48,7.58
90,Codrington,AU,2021-02-02 21:39:48,-38.2667,141.9667,61.09,71,75,9.75
91,Vilhena,BR,2021-02-02 21:47:22,-12.7406,-60.1458,86.0,66,20,3.44
92,Mareeba,AU,2021-02-02 21:47:23,-17.0,145.4333,78.8,78,24,0.67
93,Bredasdorp,ZA,2021-02-02 21:43:09,-34.5322,20.0403,60.8,82,0,5.75
94,Hobart,AU,2021-02-02 21:37:29,-42.8794,147.3294,59.0,72,75,2.3
95,Petropavlovsk-Kamchatskiy,RU,2021-02-02 21:40:22,53.0452,158.6483,15.8,73,90,6.71
96,Katsuura,JP,2021-02-02 21:42:24,35.1333,140.3,37.4,65,20,11.5
97,Cidreira,BR,2021-02-02 21:39:57,-30.1811,-50.2056,78.28,86,0,11.41
98,Castro,BR,2021-02-02 21:43:31,-24.7911,-50.0119,70.56,87,42,2.28
99,Fara In Sabina,IT,2021-02-02 21:47:24,42.2089,12.7292,53.01,91,0,3.36
100,Turtas,RU,2021-02-02 21:47:24,58.9417,69.1325,19.22,98,100,1.19
101,Taguatinga,BR,2021-02-02 21:47:24,-12.3857,-46.5711,78.08,69,84,4.97
102,Henties Bay,NA,2021-02-02 21:47:24,-22.116,14.2845,66.99,86,5,8.48
103,Faanui,PF,2021-02-02 21:38:31,-16.4833,-151.75,81.19,77,11,14.7
104,Crewe,GB,2021-02-02 21:47:25,53.0979,-2.4416,46.99,89,94,1.01
105,Acarau,BR,2021-02-02 21:44:51,-2.8856,-40.12,79.48,75,0,15.41
106,Carnarvon,AU,2021-02-02 21:38:33,-24.8667,113.6333,73.4,100,98,21.85
107,Monywa,MM,2021-02-02 21:47:25,22.1167,95.1333,60.93,45,0,4.76
108,Kadipaten,ID,2021-02-02 21:47:25,-8.1357,113.2158,75.51,85,100,2.19
109,Verkh-Usugli,RU,2021-02-02 21:45:19,52.7,115.1667,-26.63,79,0,3.8
110,Mwense,ZM,2021-02-02 21:47:25,-10.3845,28.698,67.26,91,99,2.86
111,Gat,IL,2021-02-02 21:43:53,31.61,34.7642,63.0,50,46,3.31
112,Valdivia,CL,2021-02-02 21:47:26,-39.8142,-73.2459,84.2,32,0,10.36
113,Sao Filipe,CV,2021-02-02 21:39:51,14.8961,-24.4956,73.72,72,0,8.32
114,Tuktoyaktuk,CA,2021-02-02 21:39:27,69.4541,-133.0374,-34.6,74,1,3.44
115,Ozernovskiy,RU,2021-02-02 21:47:26,51.5,156.5167,23.95,96,56,6.67
116,Souillac,MU,2021-02-02 21:44:09,-20.5167,57.5167,80.6,74,75,11.5
117,Vestmannaeyjar,IS,2021-02-02 21:47:27,63.4427,-20.2734,37.38,79,84,33.51
118,Stepnyak,KZ,2021-02-02 21:47:27,52.8339,70.7803,21.76,97,100,21.94
119,Upernavik,GL,2021-02-02 21:43:28,72.7868,-56.1549,-6.61,87,100,4.45
120,Auki,SB,2021-02-02 21:47:28,-8.7676,160.7034,81.34,84,85,11.34
121,Meulaboh,ID,2021-02-02 21:39:43,4.1363,96.1285,76.01,87,67,4.59
122,Husavik,IS,2021-02-02 21:43:12,66.0449,-17.3389,8.6,72,0,6.91
123,Chernyshevskiy,RU,2021-02-02 21:43:02,63.0128,112.4714,-35.19,84,89,6.91
124,Cape Town,ZA,2021-02-02 21:39:22,-33.9258,18.4232,69.01,83,0,18.41
125,Luderitz,NA,2021-02-02 21:43:23,-26.6481,15.1594,65.48,83,1,10.09
126,Olafsvik,IS,2021-02-02 21:47:29,64.8945,-23.7142,34.9,81,100,15.77
127,Cherskiy,RU,2021-02-02 21:38:21,68.75,161.3,-1.73,83,0,2.84
128,Esperance,AU,2021-02-02 21:43:33,-33.8667,121.9,64.4,68,75,17.27
129,Broome,US,2021-02-02 21:39:25,42.2506,-75.833,27.0,80,90,13.8
130,Georgetown,MY,2021-02-02 21:42:14,5.4112,100.3354,78.8,88,20,2.3
131,Sitka,US,2021-02-02 21:47:29,57.0531,-135.33,35.6,64,20,6.91
132,Arisvi,GR,2021-02-02 21:47:30,41.0667,25.5833,51.01,93,100,2.66
133,Tuatapere,NZ,2021-02-02 21:39:21,-46.1333,167.6833,62.37,79,100,2.44
134,Nouadhibou,MR,2021-02-02 21:39:22,20.931,-17.0347,68.0,68,0,11.5
135,Owerri,NG,2021-02-02 21:47:30,5.4833,7.0304,82.4,83,40,3.44
136,Bilma,NE,2021-02-02 21:47:30,18.6853,12.9164,65.28,26,0,7.92
137,Cassilandia,BR,2021-02-02 21:47:30,-19.1133,-51.7342,80.04,68,100,3.71
138,Port Hardy,CA,2021-02-02 21:42:50,50.6996,-127.4199,42.8,81,75,18.41
139,Jian,CN,2021-02-02 21:47:30,27.1172,114.9793,51.71,81,68,1.77
140,Padang,ID,2021-02-02 21:39:57,-0.9492,100.3543,75.2,94,40,1.14
141,Makurdi,NG,2021-02-02 21:47:31,7.7411,8.5121,84.45,14,0,1.32
142,Carbondale,US,2021-02-02 21:47:31,37.7273,-89.2168,39.2,60,40,6.91
143,Hovd,MN,2021-02-02 21:47:31,48.0056,91.6419,4.03,86,81,1.63
144,Pandamatenga,BW,2021-02-02 21:44:10,-18.5278,25.627,68.83,92,100,6.24
145,Port Blair,IN,2021-02-02 21:43:07,11.6667,92.75,75.7,78,0,12.1
146,Port-Gentil,GA,2021-02-02 21:47:32,-0.7193,8.7815,82.4,89,40,6.91
147,Albany,US,2021-02-02 21:42:32,42.6001,-73.9662,28.0,88,100,11.25
148,Teya,RU,2021-02-02 21:43:55,60.3778,92.6267,-8.28,87,100,4.34
149,Atuona,PF,2021-02-02 21:42:04,-9.8,-139.0333,78.3,75,3,14.76
150,Longyearbyen,SJ,2021-02-02 21:42:16,78.2186,15.6401,19.4,86,75,8.05
151,Jipijapa,EC,2021-02-02 21:47:32,-1.3333,-80.5833,84.2,74,40,8.05
152,Vanimo,PG,2021-02-02 21:43:24,-2.6741,141.3028,77.86,87,100,8.95
153,Leningradskiy,RU,2021-02-02 21:44:41,69.3833,178.4167,-4.09,88,100,17.49
154,Thinadhoo,MV,2021-02-02 21:43:15,0.5333,72.9333,82.58,69,100,5.08
155,Geraldton,AU,2021-02-02 21:43:43,-28.7667,114.6,71.6,83,40,10.36
156,Port Elizabeth,ZA,2021-02-02 21:40:02,-33.918,25.5701,68.0,88,40,3.44
157,Kyren,RU,2021-02-02 21:47:34,51.6828,102.1408,2.07,78,7,1.81
158,Narsaq,GL,2021-02-02 21:40:28,60.9167,-46.05,23.0,58,90,3.44
159,Vallenar,CL,2021-02-02 21:43:15,-28.5708,-70.7581,78.3,30,70,6.4
160,Severnoye,RU,2021-02-02 21:47:34,56.3491,78.3619,13.41,96,100,10.83
161,Klaksvik,FO,2021-02-02 21:37:27,62.2266,-6.589,37.4,70,60,16.11
162,Adrar,MR,2021-02-02 21:45:16,20.5022,-10.0711,71.98,21,93,8.95
163,Lagoa,PT,2021-02-02 21:42:20,39.05,-27.9833,55.76,63,58,37.4
164,Cabo San Lucas,MX,2021-02-02 21:39:39,22.8909,-109.9124,80.01,47,20,12.66
165,Egvekinot,RU,2021-02-02 21:47:35,66.3167,-179.1667,0.1,91,100,12.95
166,San Patricio,US,2021-02-02 21:43:10,28.017,-97.5169,69.8,40,20,12.66
167,Hithadhoo,MV,2021-02-02 21:42:17,-0.6,73.0833,81.72,72,30,3.49
168,Agua Verde,MX,2021-02-02 21:47:35,22.9,-106.05,82.4,51,20,6.91
169,Sisimiut,GL,2021-02-02 21:47:35,66.9395,-53.6735,-5.13,81,0,12.37
170,Petaluma,US,2021-02-02 21:44:55,38.2324,-122.6367,61.0,67,75,10.36
171,Thompson,CA,2021-02-02 21:42:03,55.7435,-97.8558,15.8,100,90,5.75
172,Skibbereen,IE,2021-02-02 21:47:36,51.55,-9.2667,42.8,93,40,11.5
173,Azul,AR,2021-02-02 21:47:36,-36.777,-59.8585,77.0,48,78,1.99
174,Ahipara,NZ,2021-02-02 21:43:10,-35.1667,173.1667,70.63,56,0,3.83
175,Linxia,CN,2021-02-02 21:47:38,35.6003,103.2064,25.66,68,94,1.86
176,Kasongo-Lunda,CD,2021-02-02 21:47:38,-6.4667,16.8167,72.57,87,100,0.96
177,Asosa,ET,2021-02-02 21:47:38,10.0667,34.5333,71.44,29,19,4.88
178,Zaraza,VE,2021-02-02 21:47:38,9.3503,-65.3245,87.48,41,10,5.73
179,Kobryn,BY,2021-02-02 21:47:39,52.2138,24.3564,33.3,94,100,9.78
180,Nikolskoye,RU,2021-02-02 21:42:58,59.7035,30.7861,23.0,93,90,11.18
181,Ewa Beach,US,2021-02-02 21:47:39,21.3156,-158.0072,78.8,69,40,9.22
182,Loandjili,CG,2021-02-02 21:47:39,-4.7561,11.8578,79.02,85,100,6.71
183,Bubaque,GW,2021-02-02 21:45:00,11.2833,-15.8333,78.15,74,37,14.05
184,Ponta Do Sol,PT,2021-02-02 21:43:54,32.6667,-17.1,61.0,70,54,1.99
185,Clyde River,CA,2021-02-02 21:42:35,70.4692,-68.5914,-25.6,68,20,2.3
186,Raudeberg,NO,2021-02-02 21:44:43,61.9875,5.1352,25.0,88,0,5.99
187,Rabo De Peixe,PT,2021-02-02 21:47:40,37.8,-25.5833,51.8,71,40,33.38
188,Sorong,ID,2021-02-02 21:47:40,-0.8833,131.25,78.55,82,100,6.42
189,Hilo,US,2021-02-02 21:42:34,19.7297,-155.09,75.2,69,90,13.8
190,New Norfolk,AU,2021-02-02 21:42:51,-42.7826,147.0587,59.0,62,98,1.01
191,Asyut,EG,2021-02-02 21:47:41,27.181,31.1837,59.0,63,0,6.91
192,Nizhniy Kuranakh,RU,2021-02-02 21:47:41,58.8353,125.4869,-29.78,80,100,9.98
193,Port Macquarie,AU,2021-02-02 21:43:42,-31.4333,152.9167,73.0,73,20,1.99
194,Umm Lajj,SA,2021-02-02 21:47:41,25.0213,37.2685,74.53,77,0,8.39
195,Barrow,US,2021-02-02 21:40:13,71.2906,-156.7887,-23.8,76,1,13.8
196,Talnakh,RU,2021-02-02 21:43:29,69.4865,88.3972,-10.57,83,99,6.17
197,Tezu,IN,2021-02-02 21:43:37,27.9167,96.1667,59.18,43,0,3.53
198,Inhambane,MZ,2021-02-02 21:44:29,-23.865,35.3833,79.9,86,76,5.68
199,Wembley,AU,2021-02-02 21:47:42,-31.9333,115.8,69.01,83,0,2.3
200,Warrnambool,AU,2021-02-02 21:47:42,-38.3833,142.4833,57.99,92,59,8.63
201,Maceio,BR,2021-02-02 21:47:42,-9.6658,-35.7353,75.2,94,0,11.5
202,Mount Gambier,AU,2021-02-02 21:47:43,-37.8333,140.7667,59.0,72,90,10.36
203,Achacachi,BO,2021-02-02 21:47:43,-16.05,-68.6833,51.17,70,97,15.23
204,Terrace,CA,2021-02-02 21:47:43,54.5163,-128.6035,32.0,80,75,12.66
205,Jumla,NP,2021-02-02 21:42:43,29.2747,82.1838,33.04,77,0,3.83
