City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,New Norfolk,AU,-42.7826,147.0587,57.99,75,12,1.01,few clouds
79,Kirakira,SB,-10.4544,161.9205,79.61,81,96,5.48,overcast clouds
80,Bredasdorp,ZA,-34.5322,20.0403,75.2,60,12,17.27,few clouds
81,General Roca,AR,-39.0333,-67.5833,78.8,47,0,8.05,clear sky
82,Polson,US,47.6936,-114.1632,30.0,49,100,1.52,light snow
83,Khatanga,RU,71.9667,102.5,-36.74,77,0,5.86,clear sky
84,Pyay,MM,18.8167,95.2167,73.18,54,8,4.03,clear sky
85,Bethel,US,41.3712,-73.414,39.99,38,40,18.41,scattered clouds
86,Barrow,US,71.2906,-156.7887,-0.4,71,90,10.36,overcast clouds
87,Lata,PT,40.1629,-8.3327,57.99,82,86,7.0,overcast clouds
88,Jamestown,US,42.097,-79.2353,19.99,62,1,21.85,clear sky
89,Elizabeth City,US,36.2946,-76.2511,52.0,40,1,4.61,clear sky
90,Upernavik,GL,72.7868,-56.1549,20.59,81,100,6.51,overcast clouds
91,Nelson Bay,AU,-32.7167,152.15,70.0,100,75,5.75,broken clouds
92,Altay,CN,47.8667,88.1167,25.09,89,100,2.55,overcast clouds
93,Tukums,LV,56.9669,23.1553,17.6,79,75,6.91,light snow
94,Tezu,IN,27.9167,96.1667,61.38,31,5,3.87,clear sky
95,Lorengau,PG,-2.0226,147.2712,81.55,79,49,5.55,scattered clouds
96,Ransang,PH,8.9603,117.5828,77.95,75,99,3.33,overcast clouds
97,Grindavik,IS,63.8424,-22.4338,35.6,75,75,17.27,broken clouds
98,Mormugao,IN,15.4,73.8,80.6,61,43,6.91,scattered clouds
99,Airai,TL,-8.9266,125.4092,60.89,97,100,2.13,light rain
100,Zhanaozen,KZ,43.3,52.8,34.9,77,38,7.54,scattered clouds
101,Leningradskiy,RU,69.3833,178.4167,-13.34,79,74,6.46,broken clouds
102,Hokitika,NZ,-42.7167,170.9667,55.9,89,2,3.2,clear sky
103,Acapulco,MX,16.8634,-99.8901,82.4,65,1,4.61,clear sky
104,Tabou,CI,4.423,-7.3528,82.27,82,50,9.31,light rain
105,Poshekhonye,RU,58.4993,39.1353,-3.01,90,100,8.3,light snow
106,Sur,OM,22.5667,59.5289,64.8,60,0,7.02,clear sky
107,Taksimo,RU,56.3444,114.8794,-10.39,78,97,1.99,overcast clouds
108,Nanortalik,GL,60.1432,-45.2371,24.37,79,0,4.81,clear sky
109,Finschhafen,PG,-6.6024,147.8681,81.32,81,97,10.87,light rain
110,Acari,PE,-15.4311,-74.6158,82.54,48,99,10.76,overcast clouds
111,Zdvinsk,RU,54.7021,78.661,31.28,98,100,15.21,overcast clouds
112,Boa Vista,BR,2.8197,-60.6733,87.8,48,75,14.97,broken clouds
113,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,73,75,13.8,broken clouds
114,Rio Grande,BR,-32.035,-52.0986,80.01,61,20,5.75,few clouds
115,Bengkulu,ID,-3.8004,102.2655,76.48,82,82,5.48,broken clouds
116,Nabire,ID,-3.3667,135.4833,75.61,85,100,4.07,overcast clouds
117,Coquimbo,CL,-29.9533,-71.3436,64.4,72,90,6.91,overcast clouds
118,Gillette,US,44.2911,-105.5022,3.2,78,90,8.05,light snow
119,Corleone,IT,37.8134,13.3017,73.4,27,0,11.5,clear sky
120,Mahebourg,MU,-20.4081,57.7,78.8,83,20,5.75,few clouds
121,Varca,IN,15.2167,73.9167,80.6,61,67,6.91,broken clouds
122,Huarmey,PE,-10.0681,-78.1522,75.9,64,86,9.71,overcast clouds
123,Ha Tinh,VN,18.3333,105.9,63.93,93,24,1.86,few clouds
124,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,51.8,93,90,4.38,overcast clouds
125,Antofagasta,CL,-23.65,-70.4,73.99,60,0,13.8,clear sky
126,Mandello Del Lario,IT,45.9192,9.3193,46.99,99,100,1.86,overcast clouds
127,Dikson,RU,73.5069,80.5464,-29.22,86,43,9.75,scattered clouds
128,Hailar,CN,49.2,119.7,-12.71,85,1,4.34,clear sky
129,Varhaug,NO,58.6147,5.6457,21.2,53,0,9.22,clear sky
130,Gushi,CN,34.6425,109.5843,48.67,41,100,1.1,overcast clouds
131,Souillac,MU,-20.5167,57.5167,78.8,83,20,5.75,few clouds
132,Mangawan,IN,24.6833,81.55,56.28,48,0,6.13,clear sky
133,Yagodnoye,RU,62.55,149.6667,-25.96,83,90,0.72,overcast clouds
134,Kupang,ID,-10.1667,123.5833,79.43,83,95,7.85,overcast clouds
135,Ketchikan,US,55.3422,-131.6461,35.6,100,90,3.44,light rain
136,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,63,100,22.37,light snow
137,Tuatapere,NZ,-46.1333,167.6833,51.58,86,1,3.74,clear sky
138,Ancud,CL,-41.8697,-73.8203,77.0,44,0,8.05,clear sky
139,Iqaluit,CA,63.7506,-68.5145,23.0,86,75,19.57,broken clouds
140,Yellowknife,CA,62.456,-114.3525,-41.01,65,1,4.34,fog
141,Mangrol,IN,21.1167,70.1167,70.47,48,0,6.29,clear sky
142,Imbituba,BR,-28.24,-48.6703,82.4,44,0,13.8,clear sky
143,Linqiong,CN,30.4159,103.4609,48.2,81,0,2.39,clear sky
144,Kavieng,PG,-2.5744,150.7967,81.82,71,96,2.51,overcast clouds
145,Avarua,CK,-21.2078,-159.775,75.2,94,20,2.3,few clouds
146,Victoria,HK,22.2855,114.1577,66.99,68,0,3.98,clear sky
147,Nikolskoye,RU,59.7035,30.7861,10.99,79,75,13.42,snow
148,Rawson,AR,-43.3002,-65.1023,66.87,50,25,17.9,scattered clouds
149,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,73,75,2.3,broken clouds
150,Kyabram,AU,-36.3167,145.05,61.0,69,6,7.78,clear sky
151,Matara,LK,5.9485,80.5353,76.59,87,93,9.91,light rain
152,Andapa,MG,-14.65,49.65,70.93,91,68,1.07,broken clouds
153,Nome,US,64.5011,-165.4064,15.8,79,90,2.77,overcast clouds
154,Sao Filipe,CV,14.8961,-24.4956,71.28,70,8,16.2,clear sky
155,Hualmay,PE,-11.0964,-77.6139,74.79,67,93,8.97,overcast clouds
156,Aripuana,BR,-9.1667,-60.6333,78.69,95,93,1.66,overcast clouds
157,Stromness,GB,58.965,-3.296,35.6,69,75,28.77,broken clouds
158,Torbay,CA,47.6666,-52.7314,37.99,80,90,5.75,overcast clouds
159,Lebu,CL,-37.6167,-73.65,62.8,77,87,6.15,overcast clouds
160,Kazerun,IR,29.6195,51.6541,59.11,60,21,2.3,few clouds
161,Bonthe,SL,7.5264,-12.505,83.68,61,62,13.04,broken clouds
162,Zaysan,KZ,47.4667,84.8667,18.79,91,56,2.57,broken clouds
163,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,18.43,92,80,10.63,broken clouds
164,Kpandae,GH,8.4689,-0.0113,101.66,14,15,4.68,few clouds
165,Ponta Delgada,PT,37.7333,-25.6667,59.0,88,40,17.27,scattered clouds
166,Muros,ES,42.7762,-9.0603,52.0,62,9,8.99,clear sky
167,Grottammare,IT,42.9888,13.8649,51.01,87,98,3.74,overcast clouds
168,Monrovia,LR,6.3005,-10.7969,80.6,78,75,3.44,broken clouds
169,Litovko,RU,49.2361,135.1742,-11.54,88,12,1.48,few clouds
170,Karachev,RU,53.1229,34.9852,0.46,93,99,8.97,overcast clouds
171,Kaitangata,NZ,-46.2817,169.8464,50.04,93,3,2.93,clear sky
172,Quesnel,CA,52.9999,-122.5029,21.2,86,90,13.8,light snow
173,Dauphin,CA,51.1494,-100.0502,-22.0,63,1,14.97,light snow
174,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.86,65,99,2.24,overcast clouds
175,Inhambane,MZ,-23.865,35.3833,86.0,70,40,9.22,scattered clouds
